[Type: Postech2019_Src],[Date: 08/29/19 09:39:44],,,,,,,,,,,,,,,,,,,
X1_InP,X2_InP,X3_InP,X4_InP,X5_InP,X6_InP,X7_InP,X8_InP,X9_InP,X10_InP,X11_InP,X12_InP,X13_InP,X14_InP,????,Post??,????????,|????-??????|,|Post??-??????|,??,????
3.036,5.77,5.64,723.1,5896.7,6019.1,1241,1071,250,1524,2866,0.19978,6,14,10.6580699,10.771,7.01,,,,0.00277
3.036,3.87,4.07,723.1,5586.4,5383,1241,1017,250,1524,2866,0.19978,6,14,8.275125003,8.361,7.01,,,,0.00277
3.166,4,4.21,723.1,4644.9,4283.4,1241,936,250,1524,2866,0.19978,6,14,6.964616103,6.879,7.01,0.045383897,0.131,????,0.00277
3.236,216.4,216.86,686.6,3101.7,2735.5,1234,1212,250,1525,2733,0.19452,4,12,215.9036728,214.043,7.25,,,,0.00277
3.236,178.8,179.28,686.6,3298.3,2934.7,1234,1209,250,1525,2733,0.19452,4,12,178.8754082,177.369,7.25,,,,0.00277
3.236,142.96,143.22,686.7,3353.7,3142.8,1234,1205,250,1525,2733,0.19452,4,12,143.3639024,142.206,7.25,,,,0.00277
3.236,109.29,109.48,686.8,3425,3295.2,1234,1201,250,1525,2733,0.19452,4,12,110.0824518,109.237,7.25,,,,0.00277
3.306,77,77.21,719.4,4571.5,4529.8,1234,1180,250,1525,2733,0.19452,4,12,79.50251022,78.917,7.25,,,,0.00277
3.306,51.55,52.35,719.4,4851.3,4483.6,1234,1173,250,1525,2733,0.19452,4,12,54.77873402,54.401,7.25,,,,0.00277
3.306,32.45,32.45,719.5,4962.3,4974.1,1234,1159,250,1525,2733,0.19452,4,12,35.70552502,35.495,7.25,,,,0.00277
3.306,19.78,19.51,719.5,5009.7,5253.8,1234,1142,250,1525,2733,0.19452,4,12,23.27726442,23.14,7.25,,,,0.00277
3.306,11.29,11.01,719.5,5427.8,5701.1,1234,1112,250,1525,2733,0.19452,4,12,15.51844182,15.388,7.25,,,,0.00277
3.306,6.91,6.76,719.5,5396.1,5531.6,1234,1080,250,1525,2733,0.19452,4,12,11.10405012,10.979,7.25,,,,0.00277
3.306,4.87,5.08,719.5,5127,4874.1,1234,1023,250,1525,2733,0.19452,4,12,8.583196916,8.43,7.25,,,,0.00277
3.306,4.44,4.65,719.5,4410.4,4142.7,1234,944,250,1525,2733,0.19452,4,12,7.234930616,7.009,7.25,0.015069384,0.241,????,0.00277
3.256,222.65,222.53,682.9,2322.5,2184.7,1240,1214,250,1178,2660,0.19444,6,14,220.7475029,218.82,7.21,,,,0.00277
3.256,193.85,193.72,682.9,2397.8,2268,1240,1211,250,1178,2660,0.19444,6,14,192.2615712,190.613,7.21,,,,0.00277
3.256,165.6,165.45,683,2501.2,2648,1240,1206,250,1178,2660,0.19444,6,14,164.7559153,163.363,7.21,,,,0.00277
3.256,139.56,139.54,683,2541.4,2577.3,1240,1202,250,1178,2660,0.19444,6,14,138.933375,137.78,7.21,,,,0.00277
3.256,115.82,115.72,683.1,2557.4,2644.5,1240,1196,250,1178,2660,0.19444,6,14,115.381468,114.453,7.21,,,,0.00277
3.256,94.4,94.39,683.1,2588.7,2608,1240,1190,250,1178,2660,0.19444,6,14,94.15896707,93.423,7.21,,,,0.00277
3.256,63.29,63.17,703.9,4431.6,4378.4,1240,1167,250,1178,2660,0.19444,6,14,65.48123127,65.089,7.21,,,,0.00277
3.256,41.67,41.82,703.9,4455.6,4331.8,1240,1159,250,1178,2660,0.19444,6,14,44.24061697,44.023,7.21,,,,0.00277
3.256,26.84,26.75,704,4478,4560.9,1240,1144,250,1178,2660,0.19444,6,14,29.62155187,29.51,7.21,,,,0.00277
3.256,17.02,16.91,704,4617.1,4723.8,1240,1127,250,1178,2660,0.19444,6,14,20.10757627,20.055,7.21,,,,0.00277
3.256,10.73,10.64,704.1,4798.5,4883.9,1240,1094,250,1178,2660,0.19444,6,14,14.15700877,14.104,7.21,,,,0.00277
3.256,7.42,7.4,704.1,4603.8,4627.7,1240,1061,250,1178,2660,0.19444,6,14,10.62560957,10.564,7.21,,,,0.00277
3.216,5.58,5.99,704.1,4364.1,4103.1,1240,1007,250,1178,2660,0.19444,6,14,8.569833473,8.487,7.21,,,,0.00277
3.216,4.6,4.8,704.1,4134.9,3934.8,1240,940,250,1178,2660,0.19444,6,14,7.239005973,7.084,7.21,0.029005973,0.126,????,0.00277
2.471,299.41,298.66,674.5,1487.4,2012.3,1121,1108,302,2228,2515,0.35724,2,24,296.6177142,294.701,32.2,,,,0.00277
2.471,286.24,285.62,674.5,2238.7,2662,1121,1105,302,2228,2515,0.35724,2,24,284.5974246,282.814,32.2,,,,0.00277
2.471,266.07,265.94,666.8,2601.5,3096.2,1121,1098,302,2228,2515,0.35724,2,24,265.8019282,264.125,32.2,,,,0.00277
2.471,246.99,246.97,666.9,2671.3,3125,1121,1096,302,2228,2515,0.35724,2,24,247.0122681,245.494,32.2,,,,0.00277
2.471,227.23,227.17,667,3057.8,3122.2,1121,1093,302,2228,2515,0.35724,2,24,227.3160797,225.988,32.2,,,,0.00277
2.471,208.24,208.23,667.1,3055.2,3058.4,1121,1092,302,2228,2515,0.35724,2,24,208.4171643,207.244,32.2,,,,0.00277
2.471,190.06,189.99,667.1,3040.2,2943.6,1121,1089,302,2228,2515,0.35724,2,24,190.1337243,189.104,32.2,,,,0.00277
2.471,172.52,172.5,667.2,2991.1,2902.5,1121,1087,302,2228,2515,0.35724,2,24,172.7139434,171.815,32.2,,,,0.00277
2.471,155.99,155.9,667.2,2957.1,2721.4,1121,1083,302,2228,2515,0.35724,2,24,155.9618702,155.199,32.2,,,,0.00277
2.471,140.22,140.16,667.3,2930.2,2728.4,1121,1080,302,2228,2515,0.35724,2,24,140.3502516,139.712,32.2,,,,0.00277
2.471,125.75,125.68,667.3,2856.7,2587.9,1121,1077,302,2228,2515,0.35724,2,24,125.7703572,125.236,32.2,,,,0.00277
2.471,112.3,112.27,667.4,2734,2535,1121,1074,302,2228,2515,0.35724,2,24,112.3910055,111.944,32.2,,,,0.00277
2.471,100.22,100.2,667.4,2655.2,2428.6,1121,1069,302,2228,2515,0.35724,2,24,100.2603184,99.899,32.2,,,,0.00277
2.471,89.34,89.33,667.5,2542.9,2402.9,1121,1065,302,2228,2515,0.35724,2,24,89.44246131,89.154,32.2,,,,0.00277
2.471,79.81,79.8,667.5,2425.5,2259.9,1121,1059,302,2228,2515,0.35724,2,24,79.78296801,79.56,32.2,,,,0.00277
2.471,71.7,71.7,667.6,2168.6,2188.3,1121,1053,302,2228,2515,0.35724,2,24,71.66146661,71.471,32.2,,,,0.00277
2.471,64.62,64.63,667.6,2104.9,2077.9,1121,1044,302,2228,2515,0.35724,2,24,64.49462151,64.345,32.2,,,,0.00277
2.471,54.93,54.93,667.7,3854.8,3322.2,1121,851,302,2228,2515,0.35724,2,24,56.87663091,56.776,32.2,,,,0.00277
2.471,48.6,48.85,667.7,3674.1,3520.4,1121,845,302,2228,2515,0.35724,2,24,51.17837611,51.06,32.2,,,,0.00277
2.471,44.28,43.94,667.7,3297.7,3517.2,1121,838,302,2228,2515,0.35724,2,24,46.29487261,46.202,32.2,,,,0.00277
2.471,39.44,39.24,667.7,3492.8,3624.7,1121,828,302,2228,2515,0.35724,2,24,41.79872201,41.723,32.2,,,,0.00277
2.421,35.66,35.42,667.7,3386.1,3545.9,1121,820,302,2228,2515,0.35724,2,24,37.90391291,37.883,32.2,,,,0.00277
2.421,32.67,32.58,667.8,3218,3275.9,1121,808,302,2228,2515,0.35724,2,24,34.72029451,34.684,32.2,,,,0.00277
2.461,30.65,30.67,667.8,2903.9,2889.3,1121,796,302,2228,2515,0.35724,2,24,32.29571981,32.191,32.2,0.095719807,0.009,Post??,0.00277
2.471,299.38,298.55,695.4,1627.8,2220.7,1127,1114,302,2225,2919,0.35724,2,22,296.5622963,294.768,38.36,,,,0.00277
2.471,286.55,286.61,695.4,2455.8,2948.3,1127,1111,302,2225,2919,0.35724,2,22,285.8012413,284.049,38.36,,,,0.00277
