"[Type: Pass_2_Model]","[Date: 08/27/19 17:33:29]","5982","18"
"[Type: Postech2019_Src]","[Date: 08/28/19 00:43:56]","1951","13"
"[Type: Postech2019_Src]","[Date: 08/28/19 00:44:24]","1939","15"
"[Type: Postech2019_Src]","[Date: 08/28/19 01:16:18]","3633","12"
"[Type: Postech2019_Src]","[Date: 08/28/19 01:17:24]","2019","13"
"[Type: Postech2019_Final]","[Date: 08/30/19 16:25:59]","3345","12"
"[Type: Postech2019_Final]","[Date: 08/30/19 17:02:46]","2158","11"
